latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
50.41631,18.14759,300.05,1.03,1.01,2022-07-22,0100,A,13,6.1NRT,289.26,4.38,N
49.67888,18.66188,305.09,1.01,1,2022-07-22,0100,A,63,6.1NRT,289.75,7.22,N
46.38309,13.25304,302.43,1.31,1.14,2022-07-22,0102,A,49,6.1NRT,289.99,7.15,N
45.85277,13.65868,303.27,1.24,1.11,2022-07-22,0102,A,31,6.1NRT,293.05,5.65,N
44.2308,23.31841,310.56,1.51,1.21,2022-07-22,0102,A,80,6.1NRT,292.45,17.45,N
44.22708,23.33655,302.62,1.51,1.21,2022-07-22,0102,A,47,6.1NRT,292.48,8.2,N
44.22955,23.31059,304.57,1.51,1.21,2022-07-22,0102,A,61,6.1NRT,292.18,10.35,N
44.22589,23.32893,315.81,1.51,1.21,2022-07-22,0102,A,92,6.1NRT,292.8,25.22,N
43.61444,17.53852,327.05,1,1,2022-07-22,0102,A,100,6.1NRT,292.03,27.42,N
43.60563,17.53584,314.37,1,1,2022-07-22,0102,A,89,6.1NRT,289.11,14.73,N
40.41673,16.57361,306.92,1,1,2022-07-22,0105,A,70,6.1NRT,292.74,7.3,N
40.40786,16.57128,354.43,1,1,2022-07-22,0105,A,100,6.1NRT,297.76,71.97,N
40.40609,16.58292,344,1,1,2022-07-22,0105,A,100,6.1NRT,296.61,50.05,N
42.60606,-7.12761,310.76,1.01,1,2022-07-22,0241,A,81,6.1NRT,285.97,12.55,N
42.6042,-7.11568,304.97,1.01,1.01,2022-07-22,0241,A,62,6.1NRT,284.87,8.64,N
42.59535,-7.11832,302.66,1.01,1.01,2022-07-22,0241,A,51,6.1NRT,283.66,7.34,N
42.5832,-7.15913,304.89,1.01,1,2022-07-22,0241,A,62,6.1NRT,286.42,8.86,N
42.57434,-7.16163,333.56,1.01,1,2022-07-22,0241,A,100,6.1NRT,288.91,36.94,N
42.57249,-7.14972,303.33,1.01,1,2022-07-22,0241,A,55,6.1NRT,286.7,8,N
42.19035,-7.25652,310.62,1.01,1.01,2022-07-22,0241,A,80,6.1NRT,283.83,12.8,N
42.19447,-7.34864,304.88,1.01,1,2022-07-22,0241,A,62,6.1NRT,282.74,9.13,N
42.18151,-7.26457,313.25,1.01,1.01,2022-07-22,0241,A,87,6.1NRT,286.88,14.15,N
42.17967,-7.25274,310.19,1.01,1.01,2022-07-22,0241,A,79,6.1NRT,285.07,11.68,N
42.15118,-7.24778,329.68,1.01,1.01,2022-07-22,0241,A,100,6.1NRT,288.9,30.04,N
42.15901,-7.35799,301.37,1.01,1,2022-07-22,0241,A,40,6.1NRT,284.11,6.72,N
42.1442,-7.26249,348.1,1.01,1.01,2022-07-22,0241,A,100,6.1NRT,289.39,60.28,N
42.14233,-7.25043,314.76,1.01,1.01,2022-07-22,0241,A,43,6.1NRT,288.52,13.85,N
41.03823,-7.84056,317.2,1.01,1,2022-07-22,0241,A,95,6.1NRT,287.28,17.23,N
41.03642,-7.82875,346.08,1.01,1,2022-07-22,0241,A,100,6.1NRT,291.83,56.83,N
57.81232,-0.96687,315.98,1,1,2022-07-22,0236,A,90,6.1NRT,280.22,17.26,N
51.1702,3.8132,305.49,1.77,1.3,2022-07-22,0238,A,64,6.1NRT,285.58,21.33,N
60.72635,33.58527,311.31,1.05,1.02,2022-07-22,0852,T,52,6.1NRT,298.5,6.42,D
58.75887,32.9467,316.69,1.03,1.01,2022-07-22,0852,T,74,6.1NRT,294.35,13.37,D
54.73738,30.6697,307.92,1.04,1.02,2022-07-22,0852,T,35,6.1NRT,297.41,5.07,D
52.8465,29.99039,312.84,1.04,1.02,2022-07-22,0854,T,67,6.1NRT,300.46,7.79,D
52.60615,29.77813,308.52,1.04,1.02,2022-07-22,0854,T,54,6.1NRT,297.62,5.35,D
49.30169,32.33254,312.95,1.05,1.02,2022-07-22,0854,T,52,6.1NRT,293.31,8.4,D
48.99288,33.87141,307.19,1.16,1.07,2022-07-22,0854,T,41,6.1NRT,293.24,6.26,D
48.16519,30.62452,316.49,1.01,1,2022-07-22,0854,T,25,6.1NRT,300.39,7.24,D
47.17355,34.22114,319.36,1.28,1.12,2022-07-22,0854,T,68,6.1NRT,302.32,10.33,D
47.33832,32.92192,337.84,1.14,1.06,2022-07-22,0854,T,87,6.1NRT,305.45,35.58,D
47.33573,32.93655,323.82,1.14,1.07,2022-07-22,0854,T,73,6.1NRT,304.5,13.47,D
47.34292,32.4709,330.56,1.11,1.05,2022-07-22,0854,T,81,6.1NRT,305.04,20.11,D
47.34047,32.48516,347.83,1.11,1.05,2022-07-22,0854,T,94,6.1NRT,306.21,53.66,D
47.33801,32.49942,322.83,1.11,1.05,2022-07-22,0854,T,71,6.1NRT,305.38,10.81,D
47.64075,30.46721,318.22,1.01,1,2022-07-22,0854,T,45,6.1NRT,304.32,5.59,D
47.59075,30.43014,324.79,1.01,1,2022-07-22,0854,T,64,6.1NRT,303.69,12.27,D
46.94444,34.16231,319.76,1.29,1.13,2022-07-22,0854,T,50,6.1NRT,294.81,17.63,D
47.25573,32.20685,323.6,1.09,1.04,2022-07-22,0854,T,71,6.1NRT,302.86,14.33,D
47.25333,32.22088,322.18,1.09,1.04,2022-07-22,0854,T,58,6.1NRT,304.11,13.59,D
47.53493,30.18594,321.3,1,1,2022-07-22,0854,T,43,6.1NRT,304.35,8.92,D
47.53296,30.19901,322.87,1,1,2022-07-22,0854,T,35,6.1NRT,304.81,10.84,D
47.05337,33.11128,322.57,1.17,1.08,2022-07-22,0854,T,59,6.1NRT,303.47,11.31,D
47.0163,32.25042,325.82,1.1,1.05,2022-07-22,0854,T,73,6.1NRT,306.47,12.65,D
46.53271,34.4999,327.7,1.36,1.15,2022-07-22,0854,T,77,6.1NRT,302.27,26.28,D
46.5286,34.20138,324.3,1.32,1.14,2022-07-22,0854,T,73,6.1NRT,298.05,20.31,D
46.52542,34.21799,318.04,1.32,1.14,2022-07-22,0854,T,47,6.1NRT,298.51,12.55,D
46.54395,34.06555,320.24,1.3,1.13,2022-07-22,0854,T,64,6.1NRT,300.19,16.48,D
46.41563,34.13267,373.32,1.31,1.14,2022-07-22,0854,T,100,6.1NRT,303.47,174.88,D
46.41244,34.14921,343.57,1.32,1.14,2022-07-22,0854,T,91,6.1NRT,297.12,58.23,D
46.39931,34.16182,333.81,1.32,1.14,2022-07-22,0854,T,58,6.1NRT,295.91,35.16,D
46.40856,34.12324,337.95,1.31,1.14,2022-07-22,0854,T,82,6.1NRT,297.38,46.25,D
47.1145,29.58463,332.22,1,1,2022-07-22,0854,T,80,6.1NRT,307.38,20.1,D
47.11259,29.59758,328.1,1,1,2022-07-22,0854,T,75,6.1NRT,305.84,14.98,D
46.90362,29.81715,325.97,1,1,2022-07-22,0854,T,70,6.1NRT,306.73,10.3,D
46.71508,30.32066,350.9,1.01,1.01,2022-07-22,0854,T,95,6.1NRT,310.15,50.72,D
46.71306,30.33364,326.36,1.01,1.01,2022-07-22,0854,T,70,6.1NRT,307.68,10.31,D
46.7137,26.68048,319.75,1.09,1.04,2022-07-22,0854,T,67,6.1NRT,304.7,8.24,D
46.71195,26.6946,318.68,1.09,1.04,2022-07-22,0854,T,58,6.1NRT,304.75,7.09,D
45.37003,30.935,310.08,1.06,1.03,2022-07-22,0854,T,27,6.1NRT,293.4,6.77,D
45.55201,29.1178,331.06,1,1,2022-07-22,0854,T,75,6.1NRT,313.37,12.05,D
45.55014,29.1304,335.98,1,1,2022-07-22,0854,T,62,6.1NRT,312.23,18.98,D
45.52383,29.30673,327.72,1,1,2022-07-22,0854,T,57,6.1NRT,310.93,7.84,D
