latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
47.62774,34.32653,300.98,1.01,1,2022-07-16,0001,A,36,6.1NRT,289.43,5.41,N
46.6596,33.23622,318.29,1,1,2022-07-16,0003,A,97,6.1NRT,288.13,18.24,N
45.37279,30.93359,307.71,1.05,1.02,2022-07-16,0003,A,56,6.1NRT,292.59,7.34,N
35.15089,24.63249,307.03,1.46,1.19,2022-07-16,0005,A,24,6.1NRT,295.38,9.63,N
35.14022,24.63075,311.33,1.46,1.19,2022-07-16,0005,A,52,6.1NRT,294.31,14.76,N
35.13692,24.66117,310.33,1.46,1.19,2022-07-16,0005,A,28,6.1NRT,296.26,12.72,N
35.13527,24.67645,309.29,1.45,1.19,2022-07-16,0005,A,28,6.1NRT,296.53,11.59,N
60.30069,25.51895,303.89,1.64,1.26,2022-07-16,0134,A,57,6.1NRT,280.78,19.78,D
51.17469,3.82603,305.82,1.48,1.2,2022-07-16,0139,A,66,6.1NRT,286.58,15.82,N
51.16392,3.82359,300.77,1.48,1.2,2022-07-16,0139,A,22,6.1NRT,284.85,10.26,N
51.17138,3.81981,317.7,1.48,1.2,2022-07-16,0139,A,96,6.1NRT,287.42,31.37,N
48.27621,14.33923,307.86,1.32,1.14,2022-07-16,0139,A,73,6.1NRT,287.56,14.85,N
49.35221,6.74282,300.39,1.1,1.05,2022-07-16,0139,A,26,6.1NRT,286.28,6.95,N
44.571,-0.46065,308.15,2.02,1.39,2022-07-16,0139,A,22,6.1NRT,294.25,21.96,N
44.56915,-0.4355,309.18,2.02,1.38,2022-07-16,0139,A,68,6.1NRT,292.95,25.29,N
44.55672,-0.43724,314.71,2.02,1.38,2022-07-16,0139,A,19,6.1NRT,294.56,32.58,N
44.55158,-0.54082,309.97,2.04,1.39,2022-07-16,0139,A,29,6.1NRT,292.73,25.47,N
44.54975,-0.51513,323.72,2.04,1.39,2022-07-16,0139,A,93,6.1NRT,296.49,54.17,N
44.54429,-0.43902,316.86,2.02,1.38,2022-07-16,0139,A,9,6.1NRT,293.69,36.02,N
44.54089,-0.56839,321.24,2.05,1.39,2022-07-16,0139,A,90,6.1NRT,289.66,53.23,N
44.53907,-0.54256,372.15,2.04,1.39,2022-07-16,0139,A,100,6.1NRT,300.83,347.74,N
44.53726,-0.5169,347.38,2.04,1.39,2022-07-16,0139,A,100,6.1NRT,301.34,150.67,N
44.55592,-0.44484,319.6,2.02,1.38,2022-07-16,0139,A,29,6.1NRT,296.74,43.24,N
44.54936,-0.52279,326.09,2.04,1.39,2022-07-16,0139,A,100,6.1NRT,296.96,61.36,N
44.54349,-0.44662,322.84,2.02,1.38,2022-07-16,0139,A,53,6.1NRT,295.71,52.59,N
44.53882,-0.5502,374.71,2.04,1.39,2022-07-16,0139,A,100,6.1NRT,297.62,374.71,N
44.53687,-0.52453,353.45,2.04,1.39,2022-07-16,0139,A,100,6.1NRT,302.42,188.16,N
44.53493,-0.49903,325.09,2.03,1.39,2022-07-16,0139,A,93,6.1NRT,297.74,51.53,N
44.52631,-0.55191,364.68,2.04,1.39,2022-07-16,0139,A,100,6.1NRT,297,279.57,N
44.52438,-0.52628,354.01,2.04,1.39,2022-07-16,0139,A,100,6.1NRT,301.61,191.89,N
44.52246,-0.50082,331.15,2.03,1.39,2022-07-16,0139,A,100,6.1NRT,298.65,73.42,N
44.5138,-0.55367,361.39,2.04,1.39,2022-07-16,0139,A,100,6.1NRT,297.29,255.84,N
44.5119,-0.52808,341.23,2.04,1.39,2022-07-16,0139,A,100,6.1NRT,298.21,123.88,N
44.50999,-0.50254,319.64,2.03,1.39,2022-07-16,0139,A,52,6.1NRT,296.23,43.1,N
44.50809,-0.47716,315.59,2.02,1.39,2022-07-16,0139,A,35,6.1NRT,295.2,35.79,N
44.49564,-0.47897,306.31,2.02,1.39,2022-07-16,0139,A,34,6.1NRT,292.64,20.55,N
43.45047,4.90415,305.81,1.09,1.04,2022-07-16,0139,A,66,6.1NRT,294.79,6.02,N
42.75173,-6.95643,307.82,4.64,1.97,2022-07-16,0141,A,49,6.1NRT,287.32,84.24,N
42.63406,-7.20127,301.58,4.79,2,2022-07-16,0141,A,42,6.1NRT,289.76,43.51,N
42.63425,-7.20542,301.14,4.79,2,2022-07-16,0141,A,38,6.1NRT,289.7,40.7,N
